MODEL COMPARISON SUMMARY
============================================================

Model                      | Mode       | Accuracy (%) | Excluded/Total  | Word Count     
----------------------------------------------------------------------
llavaonevision_0.5B        | 0-shot     | 6.94         | 0/1038          | 4.57      
llavaonevision_7B          | 0-shot     | 2.89         | 0/1038          | 4.57      
MedVLM-R1                  | 0-shot     | 2.89         | 0/1038          | 4.57      
llavamed_7B                | 0-shot     | 0.00         | 0/1038          | 4.57      
llama33textonly (baseline) | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_7B                   | 0-shot     | 0.00         | 0/1038          | 4.57      
llavanext_7B               | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_13B                  | 0-shot     | 0.00         | 0/1038          | 4.57      
medgemma_4b                | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen3B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
llama32_vision_90b         | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen7B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
gpt-4o                     | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen32B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen72B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
----------------------------------------------------------------------
qwen7B                     | ICL        | 35.36        | 0/1038          | 4.57      
qwen3B                     | ICL        | 28.03        | 0/1038          | 4.57      
llama32_vision_90b         | ICL        | 27.46        | 0/1038          | 4.57      
llavaonevision_7B          | ICL        | 25.72        | 0/1038          | 4.57      
random (baseline)          | ICL        | 25.34        | 0/1038          | 4.57      
qwen32B                    | ICL        | 25.24        | 0/1038          | 4.57      
qwen72B                    | ICL        | 24.37        | 0/1038          | 4.57      
MedVLM-R1                  | ICL        | 24.28        | 0/1038          | 4.57      
llava_13B                  | ICL        | 21.10        | 0/1038          | 4.57      
llava_7B                   | ICL        | 20.52        | 0/1038          | 4.57      
majority (baseline)        | ICL        | 17.53        | 0/1038          | 4.57      
llavaonevision_0.5B        | ICL        | 14.26        | 0/1038          | 4.57      
medgemma_4b                | ICL        | 13.29        | 0/1038          | 4.57      
gpt-4o                     | ICL        | 7.80         | 0/1038          | 4.57      
llama33textonly (baseline) | ICL        | 3.56         | 0/1038          | 4.57      
llavanext_7B               | ICL        | 3.56         | 0/1038          | 4.57      
llavamed_7B                | ICL        | 0.19         | 0/1038          | 4.57      


PER-PROBLEM ACCURACY COMPARISON (%) - 0-shot
------------------------------------------------------------
Problem ID   | llavamed_7B  | llama33textonly (baseline) | llava_7B     | llavanext_7B | llava_13B    | llavaonevision_0.5B | llavaonevision_7B | MedVLM-R1    | medgemma_4b  | qwen3B       | llama32_vision_90b | qwen7B       | gpt-4o       | qwen32B      | qwen72B     
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_12 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_13 | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_14 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_16 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_18 | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_19 | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_2 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_20 | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_21 | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_22 | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_23 | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_3 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_4 | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_5 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_6 | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_7 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_9 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_1 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_10 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_11 | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_12 | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_13 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_14 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_15 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_16 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_18 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_19 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_21 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_22 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_3 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_4 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_5 | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_7 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_8 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_9 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
3db48fb6-755b-4323-a963-42239ecb0316_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00
3db48fb6-755b-4323-a963-42239ecb0316_perm_2 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00
3e221315-f38c-4c93-87b1-7c9915d8a41b_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
3e221315-f38c-4c93-87b1-7c9915d8a41b_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
40ea6079-9d12-477e-b34e-373c6d4f64d5_perm_1 | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
40ea6079-9d12-477e-b34e-373c6d4f64d5_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_1 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_11 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_12 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_14 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_15 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_16 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_19 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_2 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_21 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_23 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_3 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00
41727fb3-7f70-4274-bacb-61f84b4bf584_perm_4 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
